Timestamp,Download_Mbps,Upload_Mbps,Ping_ms,RSSI_dBm,Latitude,Longitude,Note
2025-05-21 13:52:31,21.05,37.58,15.53,-50.0,303,374,Room 166 (KH)
2025-05-21 17:49:07,247.47,188.29,34.18,-50.0,473,424,cafeteria 1st Time (KH)
2025-05-21 18:07:54,188.12,135.33,14.31,-50.0,475,420,cafeteria 2nd Time (KH)
2025-05-26 15:35:40,259.54,187.66,19.36,-50.0,283,280,Room 517 1st Time (KH)
2025-05-26 15:44:55,224.61,161.89,15.84,-50.0,284,282,Room 517 2nd Time (KH)
2025-05-26 15:48:02,30.53,37.55,11.95,-50.0,281,280,Room 517 3rd Time (KH)
2025-05-26 15:49:45,243.48,160.57,14.93,-50.0,279,279,Room 517 4th Time (KH)
2025-05-28 13:27:02,222.57,36.60,15.55,-50.0,304,376,Room 166 (KH)
2025-05-28 13:28:14,27.36,33.77,68.11,-50.0,297,375,Room 166 2nd Time (KH)
2025-05-28 13:29:33,264.23,104.92,10.32,-50.0,297,372,Room 166 3rd Time (KH)
2025-05-30 20:15:03,27.76,31.20,12.84,-50.0,461,310,21KOMCEE East K114 1st (KH)
2025-05-30 20:16:16,26.49,34.28,9.32,-50.0,457,312,21KOMCEE East K114 2nd (KH)
2025-05-30 20:17:47,43.63,33.27,8.82,-50.0,457,313,21KOMCEE East K114 3rd (KH)
2025-05-30 20:20:35,114.30,233.42,10.02,-50.0,461,302,21KOMCEE East K114 4th (KH)
2025-05-30 20:21:36,318.82,230.40,13.96,-50.0,461,303,21KOMCEE East K114 5th (KH)
2025-05-30 20:23:06,330.70,231.32,8.80,-50.0,459,300,21KOMCEE East K114 6th (KH)
2025-05-30 20:23:54,244.46,199.89,8.26,-50.0,462,302,21KOMCEE East K114 7th (KH)
2025-06-02 17:15:43,173.22,236.47,12.75,-58.0,263,356,Room 1108 (KH)
2025-06-02 17:16:43,35.60,13.64,13.68,-50.0,259,350,Room 1108 (KH)
2025-06-02 17:17:51,69.19,46.75,10.75,-50.0,260,352,Room 1108 (KH)
2025-06-02 17:19:08,350.13,253.04,7.71,-50.0,263,354,Room 1108 (KH)
2025-06-09 16:59:01,15.70,13.43,23.14,-73.0,197,374,outside building 12 (KH)
2025-06-13 17:22:01,114.71,30.75,18.60,-60.0,476,274,Student Building (KH)
2025-06-13 17:28:25,94.70,151.42,24.19,-58.0,425,270,New Student Building (KH)
2025-06-13 17:36:15,12.05,27.00,14.76,-67.0,373,306,B9 (KH)
2025-06-13 17:39:09,11.62,28.69,11.99,-64.0,324,258,B13 (KH)
2025-06-13 17:41:57,26.98,30.87,122.07,-67.0,289,256,B5 (KH)
2025-06-13 17:44:05,1.09,8.40,28.13,-91.0,241,233,B3 (KH)
2025-06-13 17:47:20,7.75,23.56,72.65,-61.0,162,224,B16 (KH)
2025-06-13 17:49:04,0.90,9.45,33.66,-54.0,155,255,B15 (KH)
2025-06-13 17:52:27,65.17,31.74,11.90,-56.0,209,264,B17 (KH)
2025-06-13 17:54:28,2.96,1.34,106.44,-70.0,233,293,B6 (KH)
2025-06-13 17:56:06,34.89,17.02,78.48,-52.0,234,293,B6 (KH)
