Timestamp,Download_Mbps,Upload_Mbps,Ping_ms,RSSI_dBm,Latitude,Longitude,Note
2025-05-20 18:08:39,120.18,186.89,10.95,-57.0,477,429,cafeteria (RH)
2025-05-20 18:18:55,11.10,49.17,12.23,-83.5,451,441,crossroad 1 (RH)
2025-05-20 18:22:57,18.37,32.57,17.59,-77.0,446,485,crossroad 2 (RH)
2025-05-20 18:27:11,0.00,0.00,0.00,-50.5,543,501,library back (RH)
2025-05-20 18:29:32,0.00,0.00,0.00,,621,500,crossroad3 (RH)
2025-05-20 18:31:07,3.21,5.64,18.51,-73.5,571,485,library back 2 (RH)
2025-05-20 18:36:16,0.00,0.00,0.00,,609,424,crossroad 4 (RH)
2025-05-20 18:40:15,45.62,43.44,40.56,-57.0,535,404,communication (RH)
2025-05-20 18:43:41,20.20,55.63,8.04,-69.0,463,378,crossroad5 (RH)
2025-05-20 18:46:30,17.59,46.41,6.65,-69.0,393,365,crossroad 6 (RH)
2025-05-20 18:49:40,14.77,27.21,7.22,-71.5,359,466,administration (RH)
2025-05-20 18:53:50,69.52,21.89,8.75,-64.0,319,415,1.1 (RH) 
2025-05-20 18:56:05,72.87,187.97,8.41,-59.5,298,386,1.2 (RH)
2025-05-20 19:04:10,0.00,0.00,0.00,-59.0,340,372,1.3 (RH)
2025-05-20 19:05:21,87.38,226.96,9.30,-64.0,349,396,1.4 (RH)
2025-05-20 19:09:55,50.85,64.32,36.09,-64.0,302,480,entrance (RH)
2025-05-21 18:07:54,188.12,135.33,14.31,-50.0,475,420,cafeteria (RH)
2025-05-26 15:49:45,243.48,160.57,14.93,-50.0,279,279,Room 517  (RH)
2025-05-28 13:29:33,264.23,104.92,10.32,-50.0,297,372,Room 166 (RH)
2025-05-30 20:23:54,244.46,199.89,8.26,-50.0,462,302,21KOMCEE East K114 (RH) 
2025-06-02 17:19:08,350.13,253.04,7.71,-50.0,263,354,Room 1108 (RH)
2025-06-09 16:59:05,22.74,66.16,10.23,-78.5,196,364,b12 (RH)
2025-06-09 17:12:45,116.19,193.94,12.76,-63.0,252,360,b11 (RH)
2025-06-09 17:15:30,77.73,169.93,9.34,-59.5,212,342,b13 (RH)
2025-06-09 17:17:44,62.01,124.73,14.91,-67.5,164,323,b14 (RH)
2025-06-09 17:20:21,22.02,73.55,35.64,-66.5,159,363,b2 (RH)
2025-06-09 17:26:37,11.64,78.01,12.40,-87.0,225,392,900 (RH)
2025-06-09 17:31:59,0.00,0.00,0.00,-67.5,242,499,info (RH)
2025-06-09 17:32:33,0.00,0.00,0.00,-74.0,244,497,python gui_speedtest.py (RH)
2025-06-09 17:39:01,137.05,228.38,10.50,-61.0,181,450,b102 (RH)
2025-06-13 17:22:01,114.71,30.75,18.60,-60.0,476,274,Student Building (KH)
2025-06-13 17:28:25,94.70,151.42,24.19,-58.0,425,270,New Student Building (KH)
2025-06-13 17:36:15,12.05,27.00,14.76,-67.0,373,306,B9 (KH)
2025-06-13 17:39:09,11.62,28.69,11.99,-64.0,324,258,B13 (KH)
2025-06-13 17:41:57,26.98,30.87,122.07,-67.0,289,256,B5 (KH)
2025-06-13 17:44:05,1.09,8.40,28.13,-91.0,241,233,B3 (KH)
2025-06-13 17:47:20,7.75,23.56,72.65,-61.0,162,224,B16 (KH)
2025-06-13 17:49:04,0.90,9.45,33.66,-54.0,155,255,B15 (KH)
2025-06-13 17:52:27,65.17,31.74,11.90,-56.0,209,264,B17 (KH)
2025-06-13 17:54:28,2.96,1.34,106.44,-70.0,233,293,B6 (KH)
2025-06-13 17:56:06,34.89,17.02,78.48,-52.0,234,293,B6 (KH)
